date,segment,channel,transactions,transactions_forecast,contacts_offered,contacts_handled,aht_seconds,concurrency_effective,items_resolved,productive_hours,occupancy_achieved,service_level
2026-06-01,NORTH,voice,3710,3462,702,702,415.2,1,0,105.71,0.77,0.91
2026-06-01,NORTH,chat,3710,3462,546,546,534,1.6,0,66.12,0.77,0.91
2026-06-01,NORTH,email,3710,3462,312,312,300,1,312,33.96,0.77,0.91
2026-06-01,SOUTH,voice,6621,6576,908,908,430.2,1,0,141.68,0.77,0.91
2026-06-01,SOUTH,chat,6621,6576,706,706,508.8,1.6,0,81.5,0.77,0.91
2026-06-01,SOUTH,email,6621,6576,404,404,301.2,1,404,44.13,0.77,0.91
2026-06-02,NORTH,voice,3417,3295,648,648,415.8,1,0,111.1,0.67,0.99
2026-06-02,NORTH,chat,3417,3295,504,504,510,1.6,0,66.21,0.67,0.99
2026-06-02,NORTH,email,3417,3295,288,288,304.8,1,288,36.2,0.67,0.99
2026-06-02,SOUTH,voice,5700,5411,769,769,423,1,0,134.06,0.67,0.99
2026-06-02,SOUTH,chat,5700,5411,598,598,535.2,1.6,0,82.41,0.67,0.99
2026-06-02,SOUTH,email,5700,5411,342,342,306,1,342,43.13,0.67,0.99
2026-06-03,NORTH,voice,3374,3250,625,625,420,1,0,113.21,0.64,0.99
2026-06-03,NORTH,chat,3374,3250,486,486,526.2,1.6,0,68.9,0.64,0.99
2026-06-03,NORTH,email,3374,3250,278,278,309,1,278,37.05,0.64,0.99
2026-06-03,SOUTH,voice,5454,5265,739,739,411,1,0,130.99,0.64,0.99
2026-06-03,SOUTH,chat,5454,5265,575,575,525,1.6,0,81.37,0.64,0.99
2026-06-03,SOUTH,email,5454,5265,328,328,294,1,328,41.59,0.64,0.99
2026-06-04,NORTH,voice,3092,2987,573,573,415.8,1,0,109.58,0.6,0.99
2026-06-04,NORTH,chat,3092,2987,446,446,507,1.6,0,64.97,0.6,0.99
2026-06-04,NORTH,email,3092,2987,255,255,292.8,1,255,34.35,0.6,0.99
2026-06-04,SOUTH,voice,5368,5388,723,723,415.2,1,0,137.94,0.6,0.99
2026-06-04,SOUTH,chat,5368,5388,562,562,505.2,1.6,0,81.55,0.6,0.99
2026-06-04,SOUTH,email,5368,5388,321,321,303,1,321,44.71,0.6,0.99
2026-06-05,NORTH,voice,2938,2830,566,566,427.2,1,0,111.67,0.6,0.99
2026-06-05,NORTH,chat,2938,2830,440,440,526.2,1.6,0,66.84,0.6,0.99
2026-06-05,NORTH,email,2938,2830,251,251,304.8,1,251,35.37,0.6,0.99
2026-06-05,SOUTH,voice,5181,4857,698,698,421.8,1,0,136.11,0.6,0.99
2026-06-05,SOUTH,chat,5181,4857,543,543,511.2,1.6,0,80.13,0.6,0.99
2026-06-05,SOUTH,email,5181,4857,310,310,300,1,310,42.97,0.6,0.99
2026-06-06,NORTH,voice,1522,1455,284,284,408,1,0,44.55,0.72,0.98
2026-06-06,NORTH,chat,1522,1455,221,221,523.2,1.6,0,27.78,0.72,0.98
2026-06-06,NORTH,email,1522,1455,126,126,292.2,1,126,14.15,0.72,0.98
2026-06-06,SOUTH,voice,2596,2555,347,347,415.2,1,0,55.37,0.72,0.98
2026-06-06,SOUTH,chat,2596,2555,270,270,507,1.6,0,32.9,0.72,0.98
2026-06-06,SOUTH,email,2596,2555,154,154,307.8,1,154,18.24,0.72,0.98
2026-06-07,NORTH,voice,920,877,176,176,432,1,0,26.88,0.79,0.87
2026-06-07,NORTH,chat,920,877,137,137,510,1.6,0,15.44,0.79,0.87
2026-06-07,NORTH,email,920,877,78,78,297,1,78,8.19,0.79,0.87
2026-06-07,SOUTH,voice,1595,1573,215,215,424.8,1,0,32.31,0.79,0.87
2026-06-07,SOUTH,chat,1595,1573,167,167,526.2,1.6,0,19.41,0.79,0.87
2026-06-07,SOUTH,email,1595,1573,95,95,292.2,1,95,9.81,0.79,0.87
2026-06-08,NORTH,voice,3897,3738,741,741,424.2,1,0,113.9,0.77,0.91
2026-06-08,NORTH,chat,3897,3738,576,576,510,1.6,0,66.56,0.77,0.91
2026-06-08,NORTH,email,3897,3738,329,329,298.2,1,329,35.54,0.77,0.91
2026-06-08,SOUTH,voice,6660,6407,890,890,417,1,0,134.54,0.77,0.91
2026-06-08,SOUTH,chat,6660,6407,692,692,514.8,1.6,0,80.75,0.77,0.91
2026-06-08,SOUTH,email,6660,6407,395,395,292.2,1,395,41.81,0.77,0.91
2026-06-09,NORTH,voice,3594,3362,680,680,415.8,1,0,110.02,0.71,0.99
2026-06-09,NORTH,chat,3594,3362,529,529,526.8,1.6,0,67.76,0.71,0.99
2026-06-09,NORTH,email,3594,3362,302,302,295.2,1,302,34.65,0.71,0.99
2026-06-09,SOUTH,voice,5984,5627,821,821,430.2,1,0,137.3,0.71,0.99
2026-06-09,SOUTH,chat,5984,5627,638,638,520.2,1.6,0,80.64,0.71,0.99
2026-06-09,SOUTH,email,5984,5627,365,365,301.2,1,365,42.73,0.71,0.99
2026-06-10,NORTH,voice,3431,3270,639,639,415.2,1,0,107.49,0.69,0.99
2026-06-10,NORTH,chat,3431,3270,497,497,507,1.6,0,63.84,0.69,0.99
2026-06-10,NORTH,email,3431,3270,284,284,292.8,1,284,33.73,0.69,0.99
2026-06-10,SOUTH,voice,6002,5596,812,812,423,1,0,139.23,0.69,0.99
2026-06-10,SOUTH,chat,6002,5596,632,632,534,1.6,0,85.5,0.69,0.99
2026-06-10,SOUTH,email,6002,5596,361,361,295.8,1,361,43.31,0.69,0.99
2026-06-11,NORTH,voice,3155,3162,603,603,412.8,1,0,108.93,0.64,0.99
2026-06-11,NORTH,chat,3155,3162,469,469,508.8,1.6,0,65.26,0.64,0.99
2026-06-11,NORTH,email,3155,3162,268,268,309,1,268,36.22,0.64,0.99
2026-06-11,SOUTH,voice,5454,5205,735,735,432,1,0,138.89,0.64,0.99
2026-06-11,SOUTH,chat,5454,5205,572,572,520.2,1.6,0,81.31,0.64,0.99
2026-06-11,SOUTH,email,5454,5205,327,327,297,1,327,42.48,0.64,0.99
2026-06-12,NORTH,voice,3043,2948,567,567,409.2,1,0,104.69,0.62,0.99
2026-06-12,NORTH,chat,3043,2948,441,441,517.8,1.6,0,64.46,0.62,0.99
2026-06-12,NORTH,email,3043,2948,252,252,309,1,252,35.15,0.62,0.99
2026-06-12,SOUTH,voice,5403,5080,737,737,432,1,0,143.74,0.62,0.99
2026-06-12,SOUTH,chat,5403,5080,573,573,505.8,1.6,0,81.81,0.62,0.99
2026-06-12,SOUTH,email,5403,5080,327,327,292.8,1,327,43.25,0.62,0.99
2026-06-13,NORTH,voice,1630,1592,310,310,409.8,1,0,46.42,0.76,0.92
2026-06-13,NORTH,chat,1630,1592,241,241,511.8,1.6,0,28.17,0.76,0.92
2026-06-13,NORTH,email,1630,1592,138,138,292.8,1,138,14.77,0.76,0.92
2026-06-13,SOUTH,voice,2576,2424,350,350,421.2,1,0,53.82,0.76,0.92
2026-06-13,SOUTH,chat,2576,2424,272,272,523.8,1.6,0,32.54,0.76,0.92
2026-06-13,SOUTH,email,2576,2424,155,155,304.8,1,155,17.27,0.76,0.92
2026-06-14,NORTH,voice,892,865,166,166,415.2,1,0,26.25,0.73,0.98
2026-06-14,NORTH,chat,892,865,129,129,516,1.6,0,15.85,0.73,0.98
2026-06-14,NORTH,email,892,865,74,74,292.2,1,74,8.23,0.73,0.98
2026-06-14,SOUTH,voice,1499,1403,201,201,430.2,1,0,32.94,0.73,0.98
2026-06-14,SOUTH,chat,1499,1403,156,156,505.8,1.6,0,18.8,0.73,0.98
2026-06-14,SOUTH,email,1499,1403,89,89,294,1,89,9.97,0.73,0.98
2026-06-15,NORTH,voice,4060,4080,767,767,409.2,1,0,109.98,0.79,0.85
2026-06-15,NORTH,chat,4060,4080,597,597,528,1.6,0,69.07,0.79,0.85
2026-06-15,NORTH,email,4060,4080,341,341,304.8,1,341,36.46,0.79,0.85
2026-06-15,SOUTH,voice,6682,6602,896,896,427.8,1,0,134.45,0.79,0.85
2026-06-15,SOUTH,chat,6682,6602,697,697,523.8,1.6,0,80.03,0.79,0.85
2026-06-15,SOUTH,email,6682,6602,398,398,309,1,398,43.12,0.79,0.85
2026-06-16,NORTH,voice,3691,3658,702,702,411,1,0,112.93,0.71,0.99
2026-06-16,NORTH,chat,3691,3658,546,546,508.2,1.6,0,67.85,0.71,0.99
2026-06-16,NORTH,email,3691,3658,312,312,301.8,1,312,36.88,0.71,0.99
2026-06-16,SOUTH,voice,5959,5989,801,801,424.2,1,0,132.93,0.71,0.99
2026-06-16,SOUTH,chat,5959,5989,623,623,525,1.6,0,80.01,0.71,0.99
2026-06-16,SOUTH,email,5959,5989,356,356,304.8,1,356,42.5,0.71,0.99
2026-06-17,NORTH,voice,3325,3128,633,633,412.2,1,0,111.03,0.65,0.99
2026-06-17,NORTH,chat,3325,3128,492,492,511.2,1.6,0,66.9,0.65,0.99
2026-06-17,NORTH,email,3325,3128,281,281,300,1,281,35.89,0.65,0.99
2026-06-17,SOUTH,voice,5543,5320,758,758,421.8,1,0,136.18,0.65,0.99
2026-06-17,SOUTH,chat,5543,5320,590,590,508.8,1.6,0,79.91,0.65,0.99
2026-06-17,SOUTH,email,5543,5320,337,337,301.2,1,337,43.19,0.65,0.99
2026-06-18,NORTH,voice,3189,2973,593,593,411,1,0,110.86,0.61,0.99
2026-06-18,NORTH,chat,3189,2973,461,461,504,1.6,0,66.05,0.61,0.99
2026-06-18,NORTH,email,3189,2973,264,264,292.8,1,264,35.18,0.61,0.99
2026-06-18,SOUTH,voice,5427,5441,724,724,409.8,1,0,135.02,0.61,0.99
2026-06-18,SOUTH,chat,5427,5441,563,563,519,1.6,0,83.07,0.61,0.99
2026-06-18,SOUTH,email,5427,5441,322,322,292.8,1,322,42.91,0.61,0.99
2026-06-19,NORTH,voice,3125,3048,583,583,415.8,1,0,112.69,0.6,0.99
