date,site,cohort_id,heads_on_roll,heads_scheduled,scheduled_hours,productive_hours,shrink_planned_hours,shrink_unplanned_hours,weeks_since_graduation,separations,separations_voluntary
2026-06-01,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-06-02,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-06-03,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-06-04,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-06-05,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-06-06,HALCYON-OPS,tenured,76,31,232.5,192.98,27.9,11.625,,0,
2026-06-07,HALCYON-OPS,tenured,76,18,135,112.05,16.2,6.75,,1,
2026-06-08,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-06-09,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-06-10,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-06-11,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-06-12,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-06-13,HALCYON-OPS,tenured,76,31,232.5,192.98,27.9,11.625,,0,
2026-06-14,HALCYON-OPS,tenured,76,18,135,112.05,16.2,6.75,,0,
2026-06-15,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-06-16,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-06-17,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-06-18,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-06-19,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-06-20,HALCYON-OPS,tenured,76,31,232.5,192.98,27.9,11.625,,0,
2026-06-21,HALCYON-OPS,tenured,76,18,135,112.05,16.2,6.75,,0,
2026-06-22,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-06-23,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
2026-06-24,HALCYON-OPS,tenured,76,76,570,473.1,68.4,28.5,,0,
