date,event,cohort_id,count,planned_count,planned_date
2026-06-08,req_opened,C1,40,,
2026-06-22,req_opened,C2,50,,
2026-06-29,offer_accepted,C1,25,40,2026-06-08
2026-07-06,class_started,C1,18,20,2026-07-06
2026-07-06,req_opened,C3,35,,
2026-07-13,offer_accepted,C2,31,50,2026-06-22
2026-07-20,withdrew,C1,4,,
2026-07-20,class_started,C2,27,30,2026-07-20
2026-07-27,offer_accepted,C3,22,35,2026-07-06
2026-08-03,graduated,C1,14,18,2026-08-03
2026-08-03,withdrew,C2,5,,
2026-08-03,class_started,C3,18,20,2026-08-03
2026-08-17,graduated,C2,22,27,2026-08-17
2026-08-17,withdrew,C3,4,,
2026-08-23,graduated,C3,14,18,2026-08-23
