date,segment,channel,contacts_offered,aht_seconds,workload_h,target_occupancy,required_h,delivered_h,gap_h,gap_fte,grade
2026-06-01,NORTH,chat,546,534.0,50.61874999999999,0.6623068614136483,76.42794141065934,64.96126554516097,-11.466675865498374,-1.8420362836141968,E
2026-06-01,NORTH,email,312,300.0,28.844410203711913,1.0,28.844410203711913,37.01729874279552,8.172888539083605,1.312913821539535,E
2026-06-01,NORTH,voice,702,415.2,80.96399999999998,0.7433968637672905,108.91087109205856,103.90465793008347,-5.006213161975083,-0.8042109497148728,E
2026-06-01,SOUTH,chat,706,508.8,62.36333333333333,0.6623068614136483,94.16078402120597,80.0336052736991,-14.127178747506875,-2.2694263048203815,E
2026-06-01,SOUTH,email,404,301.2,37.34981321249876,1.0,37.34981321249876,47.93265606438907,10.582842851890312,1.7000550766088856,E
2026-06-01,SOUTH,voice,908,430.2,108.506,0.7433968637672905,145.95972257688487,139.25051644387185,-6.709206133013026,-1.0777841177530967,E
2026-06-02,NORTH,chat,504,510.0,44.625,0.6580106754793127,67.81804864714991,65.23441691395263,-2.5836317331972793,-0.41504124228068745,E
2026-06-02,NORTH,email,288,304.8,26.625609418810996,1.0,26.625609418810996,38.92226566755811,12.296656248747112,1.9753664656621868,E
2026-06-02,NORTH,voice,648,415.8,74.84400000000001,0.7436460384493354,100.64465636913243,109.40962912062459,8.764972751492152,1.4080277512437194,E
2026-06-02,SOUTH,chat,598,535.2,55.56416666666667,0.6580106754793127,84.44265228097133,81.22568098172961,-3.2169712992417203,-0.5167825380307984,E
2026-06-02,SOUTH,email,342,306.0,31.617911184838057,1.0,31.617911184838054,46.220190480225256,14.602279295387202,2.345747677973848,E
2026-06-02,SOUTH,voice,769,423.0,90.3575,0.7436460384493354,121.50605977598582,132.08781683590982,10.581757059924001,1.6998806521966268,E
2026-06-03,NORTH,chat,486,526.2,44.398125,0.6644737159428282,66.81697700713876,67.73158802228144,0.9146110151426825,0.14692546427994901,E
2026-06-03,NORTH,email,278,309.0,25.70110909176895,1.0,25.70110909176895,39.20834343160678,13.50723433983783,2.169836841741017,E
2026-06-03,NORTH,voice,625,420.0,72.91666666666667,0.723338828547082,100.80568578508232,111.23806752255166,10.432381737469342,1.6758846164609387,E
2026-06-03,SOUTH,chat,575,525.0,52.408854166666664,0.6644737159428282,78.87272725649235,79.952361031834,1.079633775341648,0.17343514463319648,E
2026-06-03,SOUTH,email,328,294.0,30.32361072697919,1.0,30.32361072697919,46.26020376103245,15.93659303405326,2.56009526651458,E
2026-06-03,SOUTH,voice,739,411.0,84.36916666666667,0.723338828547082,116.63851481073243,128.7094362306937,12.07092141996128,1.9391038425640612,E
2026-06-04,NORTH,chat,446,507.0,39.25729166666667,0.6702317195053817,58.57271526277181,63.74282249946843,5.170107236696623,0.8305393151319876,E
2026-06-04,NORTH,email,255,292.8,23.574758339572234,1.0,23.574758339572234,38.27879032172705,14.704031982154817,2.3620934911092077,E
2026-06-04,NORTH,voice,573,415.8,66.1815,0.703537866518755,94.06956348700773,107.46017945070255,13.390615963694827,2.151102966055394,E
2026-06-04,SOUTH,chat,562,505.2,49.29208333333332,0.6702317195053817,73.5448381489762,80.03650749074869,6.491669341772493,1.042838448477509,E
2026-06-04,SOUTH,email,321,303.0,29.676460498049757,1.0,29.67646049804976,48.18624193440935,18.509781436359592,2.9734588652786496,E
2026-06-04,SOUTH,voice,723,415.2,83.386,0.703537866518755,118.52382646098421,135.39545830294392,16.87163184195971,2.710302303929271,E
2026-06-05,NORTH,chat,440,526.2,40.19583333333334,0.669918984558096,60.00103633403976,65.75622458003575,5.755188245995988,0.9245282322885122,E
2026-06-05,NORTH,email,251,304.8,23.204958208755418,1.0,23.204958208755418,37.9609107912163,14.755952582460882,2.370434149792913,E
2026-06-05,NORTH,voice,566,427.2,67.16533333333332,0.7019477180025956,95.68423916877092,109.8755362535825,14.19129708481158,2.2797264393271615,E
2026-06-05,SOUTH,chat,543,511.2,48.19125,0.669918984558096,71.935937196628,78.83589902251843,6.899961825890429,1.1084276025526794,E
2026-06-05,SOUTH,email,310,300.0,28.659510138303503,1.0,28.659510138303503,46.8839934074783,18.224483269174797,2.92762783440559,E
2026-06-05,SOUTH,voice,698,421.8,81.78233333333334,0.7019477180025956,116.50772733622725,133.7874359451687,17.279708608941462,2.775856804649231,E
2026-06-06,NORTH,chat,221,523.2,20.074166666666667,0.5526471737137226,36.32365751872153,27.2939275690435,-9.029729949678032,-1.450559028060728,E
2026-06-06,NORTH,email,126,292.2,11.64870412072981,1.0,11.64870412072981,15.83821096157174,4.189506840841929,0.6730131471232014,E
2026-06-06,NORTH,voice,284,408.0,32.18666666666667,0.6424378070554013,50.100828925672204,43.762740604704895,-6.338088320967309,-1.018166798548965,E
2026-06-06,SOUTH,chat,270,507.0,23.765624999999996,0.5526471737137226,43.003250772636456,32.31303486486193,-10.690215907774522,-1.7173037602850636,E
2026-06-06,SOUTH,email,154,307.8,14.237305036447546,1.0,14.237305036447546,19.35781339747657,5.120508361029023,0.8225716242616903,E
2026-06-06,SOUTH,voice,347,415.2,40.02066666666666,0.6424378070554013,62.29500541087464,54.41427260234132,-7.880732808533317,-1.265981174061577,E
2026-06-07,NORTH,chat,137,510.0,12.130208333333334,0.4564392361111111,26.575735330475563,15.123919777246956,-11.451815553228608,-1.839649084856001,E
2026-06-07,NORTH,email,78,297.0,7.211102550927978,1.0,7.211102550927978,8.99078840930066,1.7796858583726811,0.28589331058195677,E
2026-06-07,NORTH,voice,176,432.0,21.12,0.5472357587674301,38.593969165263914,26.332374260853367,-12.261594904410547,-1.969734121190449,E
2026-06-07,SOUTH,chat,167,526.2,15.256145833333333,0.4564392361111111,33.42426466952443,19.02133247450246,-14.402932195021972,-2.313724047393088,E
2026-06-07,SOUTH,email,95,292.2,8.78275310689946,1.0,8.78275310689946,10.950319216455929,2.1675661095564696,0.34820339109340875,E
2026-06-07,SOUTH,voice,215,424.8,25.37,0.5472357587674301,46.36027451338757,31.63126586164062,-14.729008651746952,-2.3661058075095505,E
2026-06-08,NORTH,chat,576,510.0,50.99999999999999,0.6619614884490714,77.04375691022352,65.17805336302813,-11.865703547195395,-1.9061371160153247,E
2026-06-08,NORTH,email,329,298.2,30.416060759683393,1.0,30.416060759683393,38.8717574762304,8.455696716547006,1.3583448540637761,E
