date,segment,channel,required_productive_h,required_fte,required_fte_p90,grade
2026-06-01,NORTH,chat,76.43,12.28,14.14,E
2026-06-01,NORTH,email,28.84,4.63,5.33,E
2026-06-01,NORTH,voice,108.91,17.5,20.15,E
2026-06-01,SOUTH,chat,94.16,15.13,17.42,E
2026-06-01,SOUTH,email,37.35,6.0,6.91,E
2026-06-01,SOUTH,voice,145.96,23.45,26.99,E
2026-06-02,NORTH,chat,67.82,10.89,12.54,E
2026-06-02,NORTH,email,26.63,4.28,4.93,E
2026-06-02,NORTH,voice,100.64,16.17,18.61,E
2026-06-02,SOUTH,chat,84.44,13.56,15.61,E
2026-06-02,SOUTH,email,31.62,5.08,5.85,E
2026-06-02,SOUTH,voice,121.51,19.52,22.47,E
2026-06-03,NORTH,chat,66.82,10.73,12.35,E
2026-06-03,NORTH,email,25.7,4.13,4.75,E
2026-06-03,NORTH,voice,100.81,16.19,18.64,E
2026-06-03,SOUTH,chat,78.87,12.67,14.59,E
2026-06-03,SOUTH,email,30.32,4.87,5.61,E
2026-06-03,SOUTH,voice,116.64,18.74,21.57,E
2026-06-04,NORTH,chat,58.57,9.41,10.83,E
2026-06-04,NORTH,email,23.57,3.79,4.36,E
2026-06-04,NORTH,voice,94.07,15.11,17.39,E
2026-06-04,SOUTH,chat,73.54,11.81,13.6,E
2026-06-04,SOUTH,email,29.68,4.77,5.49,E
2026-06-04,SOUTH,voice,118.52,19.04,21.92,E
2026-06-05,NORTH,chat,60.0,9.64,11.1,E
2026-06-05,NORTH,email,23.2,3.73,4.29,E
2026-06-05,NORTH,voice,95.68,15.37,17.69,E
2026-06-05,SOUTH,chat,71.94,11.56,13.31,E
2026-06-05,SOUTH,email,28.66,4.6,5.3,E
2026-06-05,SOUTH,voice,116.51,18.72,21.55,E
2026-06-06,NORTH,chat,36.32,5.83,6.71,E
2026-06-06,NORTH,email,11.65,1.87,2.15,E
2026-06-06,NORTH,voice,50.1,8.05,9.27,E
2026-06-06,SOUTH,chat,43.0,6.91,7.95,E
2026-06-06,SOUTH,email,14.24,2.29,2.64,E
2026-06-06,SOUTH,voice,62.3,10.01,11.52,E
2026-06-07,NORTH,chat,26.58,4.27,4.92,E
2026-06-07,NORTH,email,7.21,1.16,1.34,E
2026-06-07,NORTH,voice,38.59,6.2,7.14,E
2026-06-07,SOUTH,chat,33.42,5.37,6.18,E
2026-06-07,SOUTH,email,8.78,1.41,1.62,E
2026-06-07,SOUTH,voice,46.36,7.45,8.58,E
2026-06-08,NORTH,chat,77.04,12.38,14.25,E
2026-06-08,NORTH,email,30.42,4.89,5.63,E
2026-06-08,NORTH,voice,117.55,18.88,21.73,E
2026-06-08,SOUTH,chat,93.43,15.01,17.28,E
2026-06-08,SOUTH,email,36.52,5.87,6.76,E
2026-06-08,SOUTH,voice,138.8,22.3,25.67,E
2026-06-09,NORTH,chat,74.79,12.01,13.83,E
2026-06-09,NORTH,email,27.92,4.49,5.17,E
2026-06-09,NORTH,voice,104.42,16.77,19.3,E
2026-06-09,SOUTH,chat,89.07,14.31,16.47,E
2026-06-09,SOUTH,email,33.74,5.42,6.24,E
2026-06-09,SOUTH,voice,130.44,20.95,24.12,E
2026-06-10,NORTH,chat,66.9,10.75,12.37,E
2026-06-10,NORTH,email,26.26,4.22,4.86,E
2026-06-10,NORTH,voice,97.79,15.71,18.08,E
2026-06-10,SOUTH,chat,89.6,14.39,16.57,E
2026-06-10,SOUTH,email,33.37,5.36,6.17,E
2026-06-10,SOUTH,voice,126.59,20.34,23.41,E
2026-06-11,NORTH,chat,61.69,9.91,11.41,E
2026-06-11,NORTH,email,24.78,3.98,4.58,E
2026-06-11,NORTH,voice,95.57,15.35,17.67,E
2026-06-11,SOUTH,chat,76.92,12.36,14.23,E
2026-06-11,SOUTH,email,30.23,4.86,5.59,E
2026-06-11,SOUTH,voice,121.91,19.58,22.54,E
2026-06-12,NORTH,chat,58.91,9.46,10.89,E
2026-06-12,NORTH,email,23.3,3.74,4.31,E
2026-06-12,NORTH,voice,90.51,14.54,16.74,E
2026-06-12,SOUTH,chat,74.77,12.01,13.83,E
2026-06-12,SOUTH,email,30.23,4.86,5.59,E
2026-06-12,SOUTH,voice,124.2,19.95,22.97,E
2026-06-13,NORTH,chat,39.08,6.28,7.23,E
2026-06-13,NORTH,email,12.76,2.05,2.36,E
2026-06-13,NORTH,voice,54.49,8.75,10.07,E
2026-06-13,SOUTH,chat,45.14,7.25,8.35,E
2026-06-13,SOUTH,email,14.33,2.3,2.65,E
2026-06-13,SOUTH,voice,63.23,10.16,11.7,E
2026-06-14,NORTH,chat,27.45,4.41,5.08,E
2026-06-14,NORTH,email,6.84,1.1,1.27,E
2026-06-14,NORTH,voice,34.56,5.55,6.39,E
2026-06-14,SOUTH,chat,32.55,5.23,6.02,E
2026-06-14,SOUTH,email,8.23,1.32,1.52,E
2026-06-14,SOUTH,voice,43.35,6.96,8.01,E
2026-06-15,NORTH,chat,81.02,13.02,14.99,E
2026-06-15,NORTH,email,31.53,5.07,5.84,E
2026-06-15,NORTH,voice,117.73,18.91,21.77,E
2026-06-15,SOUTH,chat,93.84,15.07,17.35,E
2026-06-15,SOUTH,email,36.8,5.91,6.8,E
2026-06-15,SOUTH,voice,143.78,23.1,26.59,E
2026-06-16,NORTH,chat,74.24,11.93,13.73,E
2026-06-16,NORTH,email,28.84,4.63,5.33,E
2026-06-16,NORTH,voice,106.35,17.08,19.66,E
2026-06-16,SOUTH,chat,87.51,14.06,16.19,E
2026-06-16,SOUTH,email,32.91,5.29,6.09,E
2026-06-16,SOUTH,voice,125.25,20.12,23.16,E
2026-06-17,NORTH,chat,65.52,10.53,12.12,E
2026-06-17,NORTH,email,25.98,4.17,4.8,E
2026-06-17,NORTH,voice,98.8,15.87,18.27,E
2026-06-17,SOUTH,chat,78.2,12.56,14.46,E
2026-06-17,SOUTH,email,31.16,5.01,5.77,E
2026-06-17,SOUTH,voice,121.06,19.45,22.39,E
2026-06-18,NORTH,chat,59.75,9.6,11.05,E
2026-06-18,NORTH,email,24.41,3.92,4.51,E
2026-06-18,NORTH,voice,96.04,15.43,17.76,E
2026-06-18,SOUTH,chat,75.14,12.07,13.89,E
2026-06-18,SOUTH,email,29.77,4.78,5.5,E
2026-06-18,SOUTH,voice,116.91,18.78,21.62,E
2026-06-19,NORTH,chat,60.56,9.73,11.2,E
2026-06-19,NORTH,email,23.94,3.85,4.43,E
2026-06-19,NORTH,voice,96.4,15.49,17.83,E
2026-06-19,SOUTH,chat,71.47,11.48,13.22,E
2026-06-19,SOUTH,email,28.47,4.57,5.26,E
2026-06-19,SOUTH,voice,114.92,18.46,21.25,E
2026-06-20,NORTH,chat,38.51,6.19,7.13,E
2026-06-20,NORTH,email,12.02,1.93,2.22,E
2026-06-20,NORTH,voice,51.93,8.34,9.6,E
2026-06-20,SOUTH,chat,45.92,7.38,8.5,E
2026-06-20,SOUTH,email,14.51,2.33,2.68,E
2026-06-20,SOUTH,voice,64.37,10.34,11.9,E
2026-06-21,NORTH,chat,27.05,4.35,5.01,E
2026-06-21,NORTH,email,7.58,1.22,1.4,E
2026-06-21,NORTH,voice,39.33,6.32,7.28,E
2026-06-21,SOUTH,chat,32.95,5.29,6.09,E
2026-06-21,SOUTH,email,9.06,1.46,1.68,E
2026-06-21,SOUTH,voice,46.51,7.47,8.6,E
2026-06-22,NORTH,chat,79.32,12.74,14.67,E
2026-06-22,NORTH,email,30.51,4.9,5.64,E
2026-06-22,NORTH,voice,113.76,18.27,21.03,E
2026-06-22,SOUTH,chat,92.25,14.82,17.06,E
